datetime,query,statistics.volume,statistics.pos_sentiment,statistics.neg_sentiment,group
2019-04-16,qatar,1220,95.80349999999989,61.3550999999999,%Y-%m-%d
2019-04-16,world cup 2022,9,0.34,0.25,%Y-%m-%d
2019-04-16,chungus,5,1.3658000000000001,1.3613,%Y-%m-%d
2019-04-16,today,87235,25431.008200001346,11019.138000000034,%Y-%m-%d
2019-04-16,egypt,977,137.83769999999998,171.41099999999986,%Y-%m-%d
2019-04-16,al thani,221,43.17820000000001,71.29580000000011,%Y-%m-%d
2019-04-16,air italy,24,5.351400000000001,0.592,%Y-%m-%d
2019-04-16,trump,54374,8787.092000000353,14390.502999999779,%Y-%m-%d
2019-04-16,namibia,83,18.835099999999994,6.628299999999999,%Y-%m-%d
2019-04-16,qatar terrorism,1,0,0.8442,%Y-%m-%d
2019-04-16,federal shutdown,5,1.8095,0.6597,%Y-%m-%d
2019-04-16,united arab emirates,37,17.746199999999995,3.0844000000000005,%Y-%m-%d
2019-04-16,egypt from us,5,0.1005,0.6271,%Y-%m-%d
2019-04-16,al jazeera,95,7.305800000000001,17.608600000000003,%Y-%m-%d
2019-04-16,terrorism,2032,77.84019999999994,1278.7291999999957,%Y-%m-%d
2019-04-16,poland,487,94.83679999999991,48.973800000000026,%Y-%m-%d
2019-04-16,blood money qatar,3,0,0.25,%Y-%m-%d
2019-04-16,al udeid,1,0,0,%Y-%m-%d
2019-04-16,saudi arabia,652,100.81929999999991,97.19109999999986,%Y-%m-%d
2019-04-16,trupm,1,0.6486,0,%Y-%m-%d
2019-04-16,"""al thani""",217,42.47790000000001,71.16780000000011,%Y-%m-%d
2019-04-16,terrorism finance,1,0,0,%Y-%m-%d
2019-04-16,obama,6031,903.8121000000053,1412.9754999999918,%Y-%m-%d
2019-04-16,uae,835,140.66809999999984,82.1613999999997,%Y-%m-%d
2019-04-16,ontario,985,237.01160000000002,148.88459999999986,%Y-%m-%d
2019-04-16,jesse,457,98.38969999999999,38.577299999999994,%Y-%m-%d
2019-04-16,bad blood,44,4.494,23.114000000000004,%Y-%m-%d
2019-04-16,qatar airways,11,0.6697,1.1492,%Y-%m-%d
2019-04-16,qatar world cup,25,1.3561999999999999,9.219100000000001,%Y-%m-%d
2019-04-16,terrorism financing,2,0.3182,0.0534,%Y-%m-%d
2019-04-16,qatar from saudi arabia,1,0.6486,0,%Y-%m-%d
2019-04-16,qatar from russia,1,0.6486,0,%Y-%m-%d
